"Year","Month","Temperature","City"
1918,1,21.7,"NYC"
1918,2,30.4,"NYC"
1918,3,42.1,"NYC"
1918,4,50.7,"NYC"
1918,5,65.3,"NYC"
1918,6,67.7,"NYC"
1918,7,74.6,"NYC"
1918,8,76.4,"NYC"
1918,9,63.8,"NYC"
1918,10,59,"NYC"
1918,11,46.5,"NYC"
1918,12,39.4,"NYC"
1919,1,35.6,"NYC"
1919,2,34.9,"NYC"
1919,3,43.2,"NYC"
1919,4,49.9,"NYC"
1919,5,62,"NYC"
1919,6,70.9,"NYC"
1919,7,75.1,"NYC"
1919,8,71.1,"NYC"
1919,9,67.6,"NYC"
1919,10,59.2,"NYC"
1919,11,45.2,"NYC"
1919,12,30.2,"NYC"
1920,1,23.4,"NYC"
1920,2,28.5,"NYC"
1920,3,39.9,"NYC"
1920,4,48.1,"NYC"
1920,5,58.7,"NYC"
1920,6,69.2,"NYC"
1920,7,73.8,"NYC"
1920,8,74.2,"NYC"
1920,9,68.5,"NYC"
1920,10,61.1,"NYC"
1920,11,44.3,"NYC"
1920,12,37.2,"NYC"
1921,1,33.2,"NYC"
1921,2,33.9,"NYC"
1921,3,48.4,"NYC"
1921,4,56.1,"NYC"
1921,5,61.2,"NYC"
1921,6,71.1,"NYC"
1921,7,77.3,"NYC"
1921,8,71.6,"NYC"
1921,9,72.1,"NYC"
1921,10,56.3,"NYC"
1921,11,44.7,"NYC"
1921,12,32.3,"NYC"
1922,1,28.2,"NYC"
1922,2,33.6,"NYC"
1922,3,41,"NYC"
1922,4,51.4,"NYC"
1922,5,64.6,"NYC"
1922,6,71.8,"NYC"
1922,7,73.7,"NYC"
1922,8,72.3,"NYC"
1922,9,68.2,"NYC"
1922,10,58.1,"NYC"
1922,11,45.7,"NYC"
1922,12,33.5,"NYC"
1923,1,29.9,"NYC"
1923,2,26.1,"NYC"
1923,3,36.8,"NYC"
1923,4,50.3,"NYC"
1923,5,60,"NYC"
1923,6,73.3,"NYC"
1923,7,73.7,"NYC"
1923,8,72.6,"NYC"
1923,9,68.3,"NYC"
1923,10,56,"NYC"
1923,11,45.2,"NYC"
1923,12,42,"NYC"
1924,1,32.6,"NYC"
1924,2,28.8,"NYC"
1924,3,39.1,"NYC"
1924,4,49.1,"NYC"
1924,5,57.3,"NYC"
1924,6,67.8,"NYC"
1924,7,74.1,"NYC"
1924,8,74.2,"NYC"
1924,9,64.1,"NYC"
1924,10,57,"NYC"
1924,11,44.3,"NYC"
1924,12,34,"NYC"
1925,1,28.4,"NYC"
1925,2,37.8,"NYC"
1925,3,44.1,"NYC"
1925,4,51.8,"NYC"
1925,5,59.5,"NYC"
1925,6,74.3,"NYC"
1925,7,73.5,"NYC"
1925,8,73.3,"NYC"
1925,9,68.8,"NYC"
1925,10,50.6,"NYC"
1925,11,43.9,"NYC"
1925,12,34.8,"NYC"
1926,1,31.9,"NYC"
1926,2,29.2,"NYC"
1926,3,35.5,"NYC"
1926,4,47.3,"NYC"
1926,5,60.1,"NYC"
1926,6,66.7,"NYC"
1926,7,75,"NYC"
1926,8,73.9,"NYC"
1926,9,65.7,"NYC"
1926,10,55.1,"NYC"
1926,11,44.9,"NYC"
1926,12,28.9,"NYC"
1927,1,30.9,"NYC"
1927,2,36.4,"NYC"
1927,3,43,"NYC"
1927,4,48.6,"NYC"
1927,5,59,"NYC"
1927,6,67.3,"NYC"
1927,7,73.9,"NYC"
1927,8,68.4,"NYC"
1927,9,67.9,"NYC"
1927,10,59.5,"NYC"
1927,11,49.1,"NYC"
1927,12,36.7,"NYC"
1928,1,33.9,"NYC"
1928,2,33,"NYC"
1928,3,38.8,"NYC"
1928,4,48.6,"NYC"
1928,5,59.3,"NYC"
1928,6,67.4,"NYC"
1928,7,75.9,"NYC"
1928,8,75.4,"NYC"
1928,9,64.6,"NYC"
1928,10,58.8,"NYC"
1928,11,47.3,"NYC"
1928,12,39.3,"NYC"
1929,1,31.9,"NYC"
1929,2,32.9,"NYC"
1929,3,45.1,"NYC"
1929,4,50.9,"NYC"
1929,5,61.7,"NYC"
1929,6,71.5,"NYC"
1929,7,75.9,"NYC"
1929,8,73.1,"NYC"
1929,9,69.4,"NYC"
1929,10,54.6,"NYC"
1929,11,46.2,"NYC"
1929,12,35.8,"NYC"
1930,1,33.3,"NYC"
1930,2,37,"NYC"
1930,3,40.2,"NYC"
1930,4,48.4,"NYC"
1930,5,63.8,"NYC"
1930,6,73.5,"NYC"
1930,7,76.4,"NYC"
1930,8,73.5,"NYC"
1930,9,72,"NYC"
1930,10,55.5,"NYC"
1930,11,45.4,"NYC"
1930,12,34.6,"NYC"
1931,1,32.7,"NYC"
1931,2,33.8,"NYC"
1931,3,40.3,"NYC"
1931,4,51.1,"NYC"
1931,5,61.4,"NYC"
1931,6,70.7,"NYC"
1931,7,77.4,"NYC"
1931,8,75.2,"NYC"
1931,9,72.3,"NYC"
1931,10,61.2,"NYC"
1931,11,51.9,"NYC"
1931,12,40.9,"NYC"
1932,1,43.2,"NYC"
1932,2,36.1,"NYC"
1932,3,37.3,"NYC"
1932,4,49,"NYC"
1932,5,62,"NYC"
1932,6,70.4,"NYC"
1932,7,76.1,"NYC"
1932,8,76.6,"NYC"
1932,9,69.7,"NYC"
1932,10,58.4,"NYC"
1932,11,44,"NYC"
1932,12,38.9,"NYC"
1933,1,40.3,"NYC"
1933,2,34.1,"NYC"
1933,3,38.3,"NYC"
1933,4,50.4,"NYC"
1933,5,64.4,"NYC"
1933,6,72.4,"NYC"
1933,7,75.8,"NYC"
1933,8,74.8,"NYC"
1933,9,69.5,"NYC"
1933,10,56.1,"NYC"
1933,11,41.8,"NYC"
1933,12,32.7,"NYC"
1934,1,34.6,"NYC"
1934,2,19.9,"NYC"
1934,3,37.3,"NYC"
1934,4,50.3,"NYC"
1934,5,63.6,"NYC"
1934,6,73.8,"NYC"
1934,7,77.7,"NYC"
1934,8,72,"NYC"
1934,9,69.2,"NYC"
1934,10,54.5,"NYC"
1934,11,48.8,"NYC"
1934,12,33.4,"NYC"
1935,1,28.8,"NYC"
1935,2,31.2,"NYC"
1935,3,43.4,"NYC"
1935,4,49.6,"NYC"
1935,5,59.9,"NYC"
1935,6,70.1,"NYC"
1935,7,77.2,"NYC"
1935,8,74.6,"NYC"
1935,9,65.3,"NYC"
1935,10,57.4,"NYC"
1935,11,48.6,"NYC"
1935,12,30,"NYC"
1936,1,29.3,"NYC"
1936,2,25.7,"NYC"
1936,3,45.2,"NYC"
1936,4,47.8,"NYC"
1936,5,64.4,"NYC"
1936,6,69.7,"NYC"
1936,7,76.2,"NYC"
1936,8,75.4,"NYC"
1936,9,68.1,"NYC"
1936,10,57.5,"NYC"
1936,11,42.6,"NYC"
1936,12,38.6,"NYC"
1937,1,40.3,"NYC"
1937,2,34.8,"NYC"
1937,3,36.5,"NYC"
1937,4,49.6,"NYC"
1937,5,64.2,"NYC"
1937,6,71.8,"NYC"
1937,7,76.5,"NYC"
1937,8,76.6,"NYC"
1937,9,66,"NYC"
1937,10,55.1,"NYC"
1937,11,46.4,"NYC"
1937,12,35.4,"NYC"
1938,1,32.1,"NYC"
1938,2,35.4,"NYC"
1938,3,44.1,"NYC"
1938,4,53.7,"NYC"
1938,5,60.8,"NYC"
1938,6,70.3,"NYC"
1938,7,76.5,"NYC"
1938,8,78.2,"NYC"
1938,9,66,"NYC"
1938,10,59.8,"NYC"
1938,11,48.3,"NYC"
1938,12,36.9,"NYC"
1939,1,32.2,"NYC"
1939,2,37,"NYC"
1939,3,39.2,"NYC"
1939,4,48.3,"NYC"
1939,5,64.9,"NYC"
1939,6,72.9,"NYC"
1939,7,76.6,"NYC"
1939,8,78,"NYC"
1939,9,68.6,"NYC"
1939,10,57.3,"NYC"
1939,11,43.7,"NYC"
1939,12,36.9,"NYC"
1940,1,24.9,"NYC"
1940,2,32.9,"NYC"
1940,3,35.1,"NYC"
1940,4,46.8,"NYC"
1940,5,60.7,"NYC"
1940,6,70.4,"NYC"
1940,7,76.2,"NYC"
1940,8,71.3,"NYC"
